user,topic,grade,days_since_last,response_time_ms,reviewed_at
synth_user_000,linear_algebra,3,15.374,14827,2026-04-24 23:19:51.170548+00:00
synth_user_000,linear_algebra,0,2.54,9356,2026-03-26 01:42:31.223538+00:00
synth_user_000,linear_algebra,1,1.37,3224,2026-03-27 10:34:40.745118+00:00
synth_user_000,linear_algebra,1,0.584,3197,2026-03-28 00:36:10.311685+00:00
synth_user_000,linear_algebra,0,0.502,7954,2026-03-28 12:38:27.622677+00:00
synth_user_000,linear_algebra,1,0.464,11344,2026-03-28 23:46:45.836029+00:00
synth_user_000,linear_algebra,3,0.637,9989,2026-03-29 15:04:34.026023+00:00
synth_user_000,linear_algebra,3,1.591,8311,2026-03-31 05:14:59.860084+00:00
synth_user_000,linear_algebra,0,2.109,1812,2026-04-02 07:52:08.795242+00:00
synth_user_000,linear_algebra,2,1.565,7115,2026-04-03 21:25:29.272029+00:00
synth_user_000,linear_algebra,0,2.13,10647,2026-04-06 00:32:32.009177+00:00
synth_user_000,linear_algebra,1,1.063,4772,2026-04-07 02:03:24.128717+00:00
synth_user_000,linear_algebra,0,0.555,11504,2026-04-07 15:23:13.872690+00:00
synth_user_000,linear_algebra,1,0.608,652,2026-04-08 05:59:02.379952+00:00
synth_user_000,linear_algebra,1,0.533,3992,2026-04-08 18:47:00.727614+00:00
synth_user_000,linear_algebra,3,0.552,4502,2026-04-09 08:02:24.102640+00:00
synth_user_000,linear_algebra,5,0.781,10521,2026-04-10 02:46:59.160236+00:00
synth_user_000,linear_algebra,1,2.57,9586,2026-04-12 16:28:16.861197+00:00
synth_user_000,linear_algebra,1,1.719,5116,2026-04-18 18:32:27.343892+00:00
synth_user_000,linear_algebra,0,0.963,4825,2026-04-19 17:38:41.453174+00:00
synth_user_000,linear_algebra,5,0.552,10892,2026-04-20 06:53:48.390222+00:00
synth_user_000,linear_algebra,2,0.806,10938,2026-04-21 02:13:46.350579+00:00
synth_user_000,linear_algebra,4,2.613,9689,2026-04-23 16:56:36.103481+00:00
synth_user_000,linear_algebra,5,2.749,9438,2026-04-26 10:55:10.717132+00:00
synth_user_000,linear_algebra,4,6.805,1185,2026-05-03 06:14:50.689001+00:00
synth_user_000,machine_learning,1,2.231,3941,2026-04-07 20:10:16.481096+00:00
synth_user_000,machine_learning,0,1.135,14831,2026-04-08 23:25:01.288331+00:00
synth_user_000,machine_learning,0,0.513,14665,2026-04-09 11:43:05.690924+00:00
synth_user_000,machine_learning,0,0.415,3438,2026-04-09 21:40:41.751995+00:00
synth_user_000,machine_learning,1,0.645,14656,2026-04-10 13:08:57.420139+00:00
synth_user_000,machine_learning,3,0.644,6767,2026-04-11 04:36:21.008681+00:00
synth_user_000,machine_learning,0,1.538,8041,2026-04-12 17:31:38.773183+00:00
synth_user_000,machine_learning,1,0.607,11313,2026-04-13 08:06:21.542589+00:00
synth_user_000,machine_learning,5,0.427,5073,2026-04-13 18:21:36.108074+00:00
synth_user_000,machine_learning,1,1.21,5925,2026-04-14 23:23:52.039206+00:00
synth_user_000,machine_learning,5,1.018,4849,2026-04-15 23:50:00.148221+00:00
synth_user_000,machine_learning,0,0.86,7649,2026-04-16 20:28:49.988312+00:00
synth_user_000,machine_learning,0,0.778,4673,2026-04-17 15:08:33.738607+00:00
synth_user_000,machine_learning,1,0.368,11753,2026-04-17 23:58:07.737212+00:00
synth_user_000,machine_learning,4,1.558,5643,2026-04-17 09:14:52.025611+00:00
synth_user_000,machine_learning,5,3.541,11426,2026-04-20 22:13:20.778734+00:00
synth_user_000,machine_learning,0,5.929,7388,2026-04-26 20:30:24.496189+00:00
synth_user_000,machine_learning,1,3.027,9824,2026-04-29 21:08:35.717512+00:00
synth_user_000,machine_learning,0,1.005,7543,2026-04-30 21:15:39.779709+00:00
synth_user_000,machine_learning,0,0.664,11569,2026-05-01 13:12:15.604787+00:00
synth_user_000,machine_learning,1,0.435,3280,2026-05-01 23:39:21.125205+00:00
synth_user_000,machine_learning,4,0.614,2030,2026-05-02 14:22:51.006952+00:00
synth_user_000,machine_learning,1,1.436,3762,2026-05-04 00:50:00.141457+00:00
synth_user_000,machine_learning,4,1.131,1693,2026-04-21 01:04:44.136058+00:00
synth_user_000,machine_learning,1,3.931,6791,2026-04-24 23:25:36.394467+00:00
synth_user_000,machine_learning,4,2.2,12803,2026-04-27 04:13:22.550632+00:00
synth_user_000,machine_learning,1,4.197,13674,2026-05-01 08:57:30.429948+00:00
synth_user_000,machine_learning,0,1.967,14399,2026-05-03 08:10:25.810167+00:00
synth_user_000,machine_learning,4,0.481,9657,2026-05-03 19:43:08.630876+00:00
synth_user_000,machine_learning,1,1.637,14614,2026-03-28 00:42:10.839833+00:00
synth_user_000,machine_learning,3,0.733,13047,2026-03-28 18:17:35.232269+00:00
synth_user_000,machine_learning,0,1.918,12190,2026-03-30 16:20:10.884365+00:00
synth_user_000,machine_learning,3,0.657,2767,2026-03-31 08:06:58.765873+00:00
synth_user_000,machine_learning,3,1.186,7297,2026-04-01 12:34:06.207056+00:00
synth_user_000,machine_learning,1,2.54,7383,2026-04-04 01:32:24.197581+00:00
synth_user_000,machine_learning,1,1.105,14928,2026-04-05 04:04:14.481290+00:00
synth_user_000,machine_learning,0,0.656,12844,2026-04-05 19:49:13.429841+00:00
synth_user_000,machine_learning,1,0.506,12536,2026-04-06 07:57:51.368398+00:00
synth_user_000,machine_learning,0,0.568,7640,2026-04-06 21:36:25.701022+00:00
synth_user_000,machine_learning,1,0.544,12364,2026-04-07 10:40:09.488328+00:00
synth_user_000,machine_learning,0,0.416,941,2026-04-07 20:39:13.434238+00:00
synth_user_000,machine_learning,1,0.713,7522,2026-04-08 13:45:36.895729+00:00
synth_user_000,machine_learning,0,0.404,3967,2026-04-08 23:27:46.670008+00:00
synth_user_000,machine_learning,5,0.532,14130,2026-04-09 12:13:41.078681+00:00
synth_user_000,machine_learning,1,0.922,1353,2026-04-10 10:21:43.478017+00:00
synth_user_000,machine_learning,1,0.75,11178,2026-04-11 04:21:40.292570+00:00
synth_user_000,machine_learning,3,0.366,10679,2026-04-11 13:08:51.613803+00:00
synth_user_000,machine_learning,4,0.961,4071,2026-04-12 12:13:09.054218+00:00
synth_user_000,operating_systems,4,2.655,2376,2026-04-07 23:20:12.451728+00:00
synth_user_000,operating_systems,3,6.007,5611,2026-04-13 23:30:18.230429+00:00
synth_user_000,operating_systems,0,10.961,3749,2026-04-24 22:33:36.564607+00:00
synth_user_000,operating_systems,1,4.227,13156,2026-04-29 04:00:04.198916+00:00
synth_user_000,operating_systems,1,2.198,9772,2026-05-01 08:45:37.852977+00:00
synth_user_000,operating_systems,1,1.732,8789,2026-05-03 02:19:45.855206+00:00
synth_user_000,operating_systems,4,0.754,7602,2026-05-03 20:25:53.871944+00:00
synth_user_000,operating_systems,1,2.119,13741,2026-04-17 22:41:56.069621+00:00
synth_user_000,operating_systems,1,1.317,10207,2026-04-19 06:18:55.296398+00:00
synth_user_000,operating_systems,1,0.474,14944,2026-04-19 17:41:58.089399+00:00
synth_user_000,operating_systems,1,0.53,6011,2026-04-20 06:25:37.806526+00:00
synth_user_000,operating_systems,0,0.361,13571,2026-04-20 15:06:09.678449+00:00
synth_user_000,operating_systems,4,0.453,9606,2026-04-21 01:58:58.337699+00:00
synth_user_000,operating_systems,0,0.843,8504,2026-04-21 22:12:27.779064+00:00
synth_user_000,operating_systems,1,2.641,13491,2026-03-15 07:29:54.404883+00:00
synth_user_000,operating_systems,4,0.719,11378,2026-03-16 00:44:45.300791+00:00
synth_user_000,operating_systems,1,2.045,12721,2026-03-18 01:49:48.792001+00:00
synth_user_000,operating_systems,1,0.971,4277,2026-03-19 01:07:53.590732+00:00
synth_user_000,operating_systems,3,0.398,12987,2026-03-19 10:41:23.458109+00:00
synth_user_000,operating_systems,4,1.275,10159,2026-03-20 17:16:47.518467+00:00
synth_user_000,operating_systems,0,2.679,3680,2026-03-23 09:34:06.457229+00:00
synth_user_000,operating_systems,3,0.712,2573,2026-03-24 02:39:09.128906+00:00
synth_user_000,operating_systems,1,1.542,2568,2026-03-25 15:40:04.916750+00:00
synth_user_000,operating_systems,0,1.095,5158,2026-03-26 17:57:14.745815+00:00
synth_user_000,operating_systems,0,0.538,14618,2026-03-27 06:51:37.104232+00:00
synth_user_000,operating_systems,1,0.541,10812,2026-03-27 19:50:47.424944+00:00
synth_user_000,operating_systems,5,0.625,1895,2026-03-28 10:50:11.172135+00:00
synth_user_000,operating_systems,4,1.831,13455,2026-03-30 06:46:39.732827+00:00
synth_user_000,operating_systems,0,3.082,5371,2026-04-02 08:44:10.060209+00:00
synth_user_000,operating_systems,0,2.083,10488,2026-04-04 10:43:19.119130+00:00
synth_user_000,operating_systems,4,1.155,4835,2026-04-05 14:26:02.633583+00:00
synth_user_000,operating_systems,3,2.053,543,2026-04-07 15:43:03.053515+00:00
synth_user_000,operating_systems,1,2.704,5220,2026-04-10 08:36:23.878265+00:00
synth_user_000,operating_systems,1,1.355,4834,2026-04-11 17:07:10.083669+00:00
synth_user_000,operating_systems,1,2.102,14043,2026-04-12 16:11:10.942687+00:00
synth_user_000,operating_systems,4,0.957,14004,2026-04-13 15:08:47.966152+00:00
synth_user_000,operating_systems,3,2.846,11964,2026-04-16 11:26:23.809801+00:00
synth_user_000,operating_systems,4,5.509,10298,2026-04-21 23:39:32.628039+00:00
synth_user_000,operating_systems,0,7.645,1996,2026-04-29 15:08:15.239859+00:00
synth_user_000,operating_systems,1,4.152,839,2026-05-03 18:46:55.195268+00:00
synth_user_000,operating_systems,0,2.346,7745,2026-04-07 15:56:19.983066+00:00
synth_user_000,operating_systems,4,1.459,8556,2026-04-09 02:57:08.355587+00:00
synth_user_000,operating_systems,1,3.207,2213,2026-04-12 07:54:34.441024+00:00
synth_user_000,operating_systems,1,1.399,7061,2026-04-13 17:28:38.637796+00:00
synth_user_000,operating_systems,1,0.675,5796,2026-04-14 09:41:15.479957+00:00
synth_user_000,operating_systems,1,0.396,518,2026-04-14 19:12:01.730502+00:00
synth_user_000,operating_systems,1,0.613,6427,2026-04-15 09:54:50.473459+00:00
synth_user_000,operating_systems,1,0.599,4875,2026-04-16 00:17:28.700096+00:00
synth_user_000,operating_systems,1,0.57,2489,2026-04-16 13:57:49.730823+00:00
synth_user_000,operating_systems,1,0.362,5591,2026-04-16 22:38:27.458754+00:00
synth_user_000,operating_systems,0,0.57,2358,2026-04-17 12:19:44.454836+00:00
synth_user_000,databases,4,3.147,8405,2026-03-17 10:28:05.474129+00:00
synth_user_000,databases,4,6.188,10320,2026-03-23 14:58:16.500632+00:00
synth_user_000,databases,1,8.69,13443,2026-04-01 07:31:29.136456+00:00
synth_user_000,databases,1,4.946,542,2026-04-06 06:13:45.851768+00:00
synth_user_000,databases,4,1.501,8522,2026-04-07 18:15:54.055201+00:00
synth_user_000,databases,1,5.639,12998,2026-04-13 09:36:41.763274+00:00
synth_user_000,databases,0,2.144,11927,2026-04-15 13:04:22.724908+00:00
synth_user_000,databases,1,0.737,5713,2026-04-16 06:45:41.125277+00:00
synth_user_000,databases,1,0.648,11373,2026-04-16 22:18:38.135315+00:00
synth_user_000,databases,0,0.667,2568,2026-04-17 14:19:03.260229+00:00
synth_user_000,databases,1,0.551,7713,2026-04-18 03:32:22.442378+00:00
synth_user_000,databases,0,0.39,14769,2026-04-18 12:53:48.478652+00:00
synth_user_000,databases,4,0.612,6046,2026-04-19 03:34:57.721293+00:00
synth_user_000,databases,0,1.48,11548,2026-04-20 15:05:52.702266+00:00
synth_user_000,databases,0,0.798,12942,2026-04-21 10:14:38.832946+00:00
synth_user_000,databases,1,0.545,11713,2026-04-21 23:19:42.298041+00:00
synth_user_000,databases,1,0.718,2112,2026-04-22 16:34:09.607695+00:00
synth_user_000,databases,0,0.654,5406,2026-04-23 08:16:07.984285+00:00
synth_user_000,databases,0,1.604,2885,2026-04-27 08:00:17.627189+00:00
synth_user_000,databases,1,0.926,3368,2026-04-28 06:13:07.796706+00:00
synth_user_000,databases,1,0.382,10054,2026-04-28 15:22:36.942905+00:00
synth_user_000,databases,1,2.324,5212,2026-04-05 10:02:25.147625+00:00
synth_user_000,databases,4,1.333,10126,2026-04-06 18:01:47.605357+00:00
synth_user_000,databases,1,1.86,5449,2026-04-08 14:40:39.825867+00:00
synth_user_000,databases,4,0.836,9870,2026-04-09 10:44:56.162761+00:00
synth_user_000,databases,4,1.669,14099,2026-04-11 02:48:06.431634+00:00
synth_user_000,databases,4,3.156,12700,2026-04-14 06:32:37.989321+00:00
synth_user_000,databases,1,8.317,5189,2026-04-22 14:09:16.833397+00:00
synth_user_000,databases,5,4.208,3615,2026-04-26 19:08:34.836754+00:00
synth_user_000,databases,1,6.555,14235,2026-05-03 08:27:27.743347+00:00
synth_user_000,networks,1,1.97,1976,2026-04-25 08:53:15.222569+00:00
synth_user_000,networks,1,1.623,13386,2026-04-26 23:50:36.784454+00:00
synth_user_000,networks,1,0.566,14106,2026-04-27 13:25:59.804552+00:00
synth_user_000,networks,1,0.416,5335,2026-04-27 23:24:46.459720+00:00
synth_user_000,networks,4,2.236,11580,2026-04-20 05:26:04.354211+00:00
synth_user_000,networks,1,4.593,6492,2026-04-24 19:40:01.534876+00:00
synth_user_000,networks,3,1.555,6538,2026-04-26 08:59:20.808688+00:00
synth_user_000,networks,1,4.048,6586,2026-04-30 10:09:07.179661+00:00
synth_user_000,networks,2,1.452,9698,2026-05-01 20:59:47.657528+00:00
synth_user_000,object_oriented_programming,1,2.872,11137,2026-04-06 10:31:12.006031+00:00
synth_user_000,object_oriented_programming,5,1.308,8571,2026-04-07 17:54:14.887477+00:00
synth_user_000,object_oriented_programming,4,1.822,6578,2026-04-09 13:38:22.688541+00:00
synth_user_000,object_oriented_programming,1,5.367,12661,2026-04-14 22:26:30.638837+00:00
synth_user_000,object_oriented_programming,1,2.691,10586,2026-04-17 15:01:20.020937+00:00
synth_user_000,object_oriented_programming,0,1.222,7764,2026-04-18 20:20:39.680530+00:00
synth_user_000,object_oriented_programming,3,0.596,6518,2026-04-19 10:38:32.907667+00:00
synth_user_000,object_oriented_programming,0,1.59,3609,2026-04-21 00:47:48.582387+00:00
synth_user_000,object_oriented_programming,1,0.99,3975,2026-04-22 00:33:34.679478+00:00
synth_user_000,object_oriented_programming,0,0.607,4490,2026-04-22 15:07:11.985866+00:00
synth_user_000,object_oriented_programming,0,1.78,14749,2026-04-08 09:52:16.141009+00:00
synth_user_000,object_oriented_programming,1,0.926,5042,2026-04-09 08:06:05.313770+00:00
synth_user_000,object_oriented_programming,3,0.752,3358,2026-04-10 02:09:29.454781+00:00
synth_user_000,object_oriented_programming,0,0.748,13417,2026-04-10 20:07:10.812775+00:00
synth_user_000,object_oriented_programming,3,0.445,12652,2026-04-11 06:48:13.729081+00:00
synth_user_000,object_oriented_programming,2,0.805,6431,2026-04-12 02:07:03.192358+00:00
synth_user_000,object_oriented_programming,4,1.679,1210,2026-04-13 18:25:31.178034+00:00
synth_user_000,object_oriented_programming,1,4.74,11040,2026-04-18 12:11:22.626969+00:00
synth_user_000,object_oriented_programming,4,2.504,11741,2026-04-21 00:17:50.822110+00:00
synth_user_000,object_oriented_programming,0,2.575,10466,2026-04-18 09:39:14.874879+00:00
synth_user_000,object_oriented_programming,4,0.803,12167,2026-04-19 04:56:00.479940+00:00
synth_user_000,object_oriented_programming,1,1.965,10419,2026-04-21 04:05:09.620979+00:00
synth_user_000,object_oriented_programming,0,1.049,14880,2026-04-22 05:15:01.706676+00:00
synth_user_000,object_oriented_programming,0,0.701,4243,2026-04-22 22:04:45.010115+00:00
synth_user_000,object_oriented_programming,0,0.516,5620,2026-04-23 10:27:06.407135+00:00
synth_user_000,object_oriented_programming,1,3.449,1898,2026-03-25 18:06:40.032475+00:00
synth_user_000,object_oriented_programming,4,0.764,9615,2026-03-26 12:26:37.635393+00:00
synth_user_000,object_oriented_programming,1,1.705,7230,2026-03-28 05:22:09.554558+00:00
synth_user_000,object_oriented_programming,1,1.197,12313,2026-03-29 10:05:12.122984+00:00
synth_user_000,object_oriented_programming,3,0.518,8813,2026-03-29 22:30:29.953926+00:00
synth_user_000,object_oriented_programming,0,0.974,14350,2026-03-30 21:53:44.004718+00:00
synth_user_000,object_oriented_programming,3,0.573,7530,2026-03-31 11:38:08.539572+00:00
synth_user_000,object_oriented_programming,1,1.188,11029,2026-04-01 16:08:26.216161+00:00
synth_user_000,object_oriented_programming,1,0.573,974,2026-04-02 05:53:07.142100+00:00
synth_user_000,object_oriented_programming,0,0.422,600,2026-04-02 16:01:02.321547+00:00
synth_user_000,object_oriented_programming,4,0.423,12640,2026-04-03 02:09:31.697639+00:00
synth_user_000,object_oriented_programming,4,0.947,7378,2026-04-04 00:53:02.295658+00:00
synth_user_000,object_oriented_programming,3,1.431,9799,2026-04-05 11:13:15.731733+00:00
synth_user_000,object_oriented_programming,0,2.89,1315,2026-04-08 08:35:14.501890+00:00
synth_user_000,object_oriented_programming,1,2.164,4975,2026-04-21 01:20:32.523974+00:00
synth_user_000,object_oriented_programming,0,1.005,11611,2026-04-22 01:27:19.677542+00:00
synth_user_000,object_oriented_programming,1,0.621,6975,2026-04-22 16:22:08.162507+00:00
synth_user_000,object_oriented_programming,3,0.744,13072,2026-04-23 10:13:10.604459+00:00
synth_user_000,object_oriented_programming,3,0.99,12739,2026-04-24 09:58:54.973205+00:00
synth_user_000,object_oriented_programming,1,2.978,1680,2026-03-06 21:24:30.829471+00:00
synth_user_000,object_oriented_programming,1,1.347,1775,2026-03-08 05:43:44.188045+00:00
synth_user_000,object_oriented_programming,1,0.905,7343,2026-03-09 03:26:29.947456+00:00
synth_user_000,object_oriented_programming,1,0.466,10627,2026-03-09 14:37:15.592961+00:00
synth_user_000,object_oriented_programming,0,0.534,2234,2026-03-10 03:26:16.541890+00:00
synth_user_000,object_oriented_programming,1,0.447,5583,2026-03-10 14:10:25.559260+00:00
synth_user_000,object_oriented_programming,4,0.648,10874,2026-03-11 05:44:00.574063+00:00
synth_user_000,object_oriented_programming,1,0.624,12417,2026-03-11 20:42:02.420294+00:00
synth_user_000,object_oriented_programming,0,0.733,4693,2026-03-12 14:17:58.619235+00:00
synth_user_000,object_oriented_programming,1,0.429,3402,2026-03-13 00:35:36.332741+00:00
synth_user_000,object_oriented_programming,1,0.731,9994,2026-03-13 18:07:32.989119+00:00
synth_user_000,object_oriented_programming,1,0.53,10732,2026-03-14 06:50:07.154801+00:00
synth_user_000,object_oriented_programming,0,0.479,8182,2026-03-14 18:20:17.231632+00:00
synth_user_000,object_oriented_programming,3,0.527,8812,2026-03-15 06:58:59.942318+00:00
synth_user_000,object_oriented_programming,0,0.591,5203,2026-03-15 21:09:48.657799+00:00
synth_user_000,object_oriented_programming,1,0.381,8807,2026-03-16 06:18:00.481200+00:00
synth_user_000,object_oriented_programming,1,0.504,1172,2026-03-16 18:23:28.195591+00:00
synth_user_000,object_oriented_programming,1,0.53,8292,2026-03-17 07:06:30.992389+00:00
synth_user_000,object_oriented_programming,1,0.551,14219,2026-03-17 20:19:18.246342+00:00
synth_user_000,object_oriented_programming,1,0.487,4559,2026-03-18 08:01:07.455875+00:00
synth_user_000,statistics,0,1.979,6847,2026-03-28 02:47:17.036763+00:00
synth_user_000,statistics,4,1.06,11105,2026-03-29 04:13:31.213909+00:00
synth_user_000,statistics,4,2.286,4628,2026-03-31 11:05:41.798122+00:00
synth_user_000,statistics,1,5.7,5961,2026-04-06 03:54:20.311755+00:00
synth_user_000,statistics,1,1.96,11248,2026-04-08 02:56:32.770300+00:00
synth_user_000,statistics,1,1.49,5572,2026-04-09 14:41:39.452595+00:00
synth_user_000,statistics,0,0.798,12015,2026-04-10 09:50:19.813050+00:00
synth_user_000,statistics,1,0.682,11084,2026-04-11 02:11:48.635153+00:00
synth_user_000,statistics,0,0.618,4009,2026-04-11 17:01:59.595898+00:00
synth_user_000,statistics,0,0.487,3038,2026-04-12 04:42:49.865746+00:00
synth_user_000,statistics,0,0.381,14182,2026-04-12 13:51:16.691059+00:00
synth_user_000,statistics,1,0.645,10625,2026-04-13 05:20:44.227803+00:00
synth_user_000,statistics,3,0.402,13133,2026-04-13 15:00:13.282675+00:00
synth_user_000,statistics,1,1.399,6468,2026-04-15 00:34:09.300550+00:00
synth_user_000,statistics,4,0.621,12764,2026-04-15 15:27:44.403141+00:00
synth_user_000,statistics,3,1.184,13351,2026-04-16 19:53:11.002302+00:00
synth_user_000,statistics,0,2.366,7718,2026-04-19 04:40:09.767231+00:00
synth_user_000,statistics,0,1.949,10406,2026-04-01 16:25:00.030000+00:00
synth_user_000,statistics,4,0.631,9585,2026-04-02 07:33:14.622021+00:00
synth_user_000,statistics,1,2.673,1874,2026-04-04 23:42:59.887549+00:00
synth_user_000,statistics,5,1.029,7667,2026-04-06 00:24:07.432752+00:00
synth_user_000,statistics,1,1.0,936,2026-04-07 00:24:01.048823+00:00
synth_user_000,statistics,0,0.77,1837,2026-04-07 18:52:26.755990+00:00
synth_user_000,statistics,5,0.5,11148,2026-04-08 06:52:23.737983+00:00
synth_user_000,statistics,2,1.132,8240,2026-04-09 10:03:05.949241+00:00
synth_user_000,statistics,4,3.554,586,2026-04-12 23:20:15.800395+00:00
synth_user_000,statistics,3,7.849,12415,2026-04-20 19:43:02.890021+00:00
synth_user_000,statistics,1,10.788,2496,2026-05-01 14:38:05.746788+00:00
synth_user_000,statistics,0,2.142,8689,2026-03-30 13:51:44.093423+00:00
synth_user_000,statistics,4,1.181,2852,2026-03-31 18:12:43.365515+00:00
synth_user_000,statistics,3,1.631,3568,2026-04-02 09:20:44.949785+00:00
synth_user_000,statistics,5,4.456,9118,2026-04-06 20:18:06.273304+00:00
synth_user_000,statistics,1,6.44,14808,2026-04-13 06:52:19.499878+00:00
synth_user_000,statistics,1,2.467,766,2026-04-15 18:04:27.406014+00:00
synth_user_000,statistics,3,1.018,2198,2026-04-16 18:30:57.693072+00:00
synth_user_000,statistics,0,2.936,9445,2026-04-19 16:58:21.461869+00:00
synth_user_000,statistics,1,0.885,11893,2026-04-20 14:12:17.998253+00:00
synth_user_000,statistics,3,0.541,7998,2026-04-21 03:11:56.035544+00:00
synth_user_000,statistics,4,0.808,5670,2026-04-21 22:36:01.697770+00:00
synth_user_000,statistics,1,3.824,4650,2026-04-25 18:23:06.115492+00:00
synth_user_000,statistics,0,0.981,1283,2026-04-26 17:55:05.036292+00:00
synth_user_000,statistics,0,1.072,7053,2026-04-27 19:38:30.219820+00:00
synth_user_000,statistics,0,0.647,8629,2026-04-28 11:10:38.934123+00:00
synth_user_000,statistics,1,0.627,1853,2026-04-29 02:13:16.821176+00:00
synth_user_000,statistics,2,2.01,5521,2026-04-17 20:04:36.783390+00:00
synth_user_000,statistics,0,4.038,7825,2026-04-21 20:59:31.012800+00:00
synth_user_000,statistics,0,1.371,4998,2026-04-23 05:53:23.565312+00:00
synth_user_000,statistics,0,1.357,7155,2026-04-24 14:27:24.020670+00:00
synth_user_000,statistics,1,0.593,2839,2026-04-25 04:40:57.063274+00:00
synth_user_000,statistics,1,0.689,4366,2026-04-25 21:13:47.074627+00:00
synth_user_000,statistics,0,0.661,10413,2026-04-26 13:06:12.565935+00:00
synth_user_000,statistics,0,0.411,1759,2026-04-26 22:58:35.388862+00:00
synth_user_000,statistics,1,1.987,2358,2026-04-20 02:42:24.129371+00:00
synth_user_000,statistics,4,0.573,2429,2026-04-20 16:28:09.228051+00:00
synth_user_000,statistics,4,1.746,5178,2026-04-22 10:22:54.825188+00:00
synth_user_000,statistics,0,6.017,1713,2026-04-28 10:47:29.092098+00:00
synth_user_000,statistics,1,2.174,11672,2026-04-30 14:57:49.011743+00:00
synth_user_000,statistics,1,1.26,9511,2026-05-01 21:12:40.930665+00:00
synth_user_000,statistics,1,0.567,11972,2026-05-02 10:48:58.372909+00:00
synth_user_001,calculus,5,1.743,11082,2026-03-29 06:34:22.900910+00:00
synth_user_001,calculus,1,2.192,12602,2026-03-31 11:10:49.829715+00:00
synth_user_001,calculus,1,1.674,14954,2026-04-02 03:21:34.793425+00:00
synth_user_001,calculus,0,0.78,13409,2026-04-02 22:05:24.913267+00:00
synth_user_001,calculus,1,0.548,14864,2026-04-03 11:14:45.380758+00:00
synth_user_001,calculus,4,0.365,5989,2026-04-03 20:00:20.211798+00:00
synth_user_001,calculus,1,1.126,2698,2026-04-04 23:02:19.205815+00:00
synth_user_001,calculus,0,0.836,3162,2026-04-05 19:06:34.684548+00:00
