user,topic,score,num_questions,attempted_at
synth_user_002,databases,0.7396,20,2026-05-04 05:17:37.918914+00:00
synth_user_002,operating_systems,0.6337,15,2026-05-04 05:17:38.055586+00:00
synth_user_002,databases,0.7968,10,2026-05-04 05:17:38.198530+00:00
synth_user_002,linear_algebra,0.8301,15,2026-05-04 05:17:38.332877+00:00
synth_user_002,linear_algebra,0.8182,20,2026-05-04 05:17:38.482791+00:00
synth_user_002,statistics,0.5972,10,2026-05-04 05:17:38.722323+00:00
synth_user_003,statistics,0.6831,10,2026-05-04 05:19:21.586846+00:00
synth_user_003,networks,0.4321,5,2026-05-04 05:19:21.714290+00:00
synth_user_003,databases,0.4247,10,2026-05-04 05:19:21.875488+00:00
synth_user_003,machine_learning,0.6372,15,2026-05-04 05:19:22.016785+00:00
synth_user_003,operating_systems,0.7253,5,2026-05-04 05:19:22.171661+00:00
synth_user_003,linear_algebra,0.5482,5,2026-05-04 05:19:22.308657+00:00
synth_user_003,linear_algebra,0.6773,15,2026-05-04 05:19:22.577462+00:00
synth_user_003,operating_systems,0.606,15,2026-05-04 05:19:22.714184+00:00
synth_user_003,object_oriented_programming,0.4966,5,2026-05-04 05:19:22.856958+00:00
synth_user_003,machine_learning,0.5831,10,2026-05-04 05:19:22.989828+00:00
synth_user_003,networks,0.7494,15,2026-05-04 05:19:23.130200+00:00
synth_user_003,operating_systems,0.5583,5,2026-05-04 05:19:23.259270+00:00
synth_user_003,databases,0.756,10,2026-05-04 05:19:23.400386+00:00
synth_user_003,databases,0.2539,10,2026-05-04 05:19:23.629856+00:00
synth_user_004,machine_learning,0.8096,10,2026-05-04 05:20:28.710704+00:00
synth_user_004,networks,0.6959,20,2026-05-04 05:20:28.838164+00:00
synth_user_004,networks,0.7651,20,2026-05-04 05:20:28.965124+00:00
synth_user_004,object_oriented_programming,0.9133,10,2026-05-04 05:20:29.213660+00:00
synth_user_004,linear_algebra,0.6481,10,2026-05-04 05:20:29.340175+00:00
synth_user_004,statistics,0.6047,5,2026-05-04 05:20:29.467506+00:00
synth_user_004,databases,0.6672,5,2026-05-04 05:20:29.620266+00:00
synth_user_004,networks,0.8321,10,2026-05-04 05:20:29.760716+00:00
synth_user_004,databases,0.7669,15,2026-05-04 05:20:29.901787+00:00
synth_user_004,machine_learning,0.621,20,2026-05-04 05:20:30.042392+00:00
synth_user_004,databases,0.789,20,2026-05-04 05:20:30.258271+00:00
synth_user_005,calculus,0.3224,15,2026-05-04 05:21:40.887267+00:00
synth_user_005,calculus,0.3673,15,2026-05-04 05:21:41.034379+00:00
synth_user_005,calculus,0.3596,20,2026-05-04 05:21:41.168545+00:00
synth_user_005,statistics,0.234,10,2026-05-04 05:21:41.411189+00:00
synth_user_005,linear_algebra,0.4482,5,2026-05-04 05:21:41.571823+00:00
synth_user_005,machine_learning,0.4349,10,2026-05-04 05:21:41.716122+00:00
synth_user_005,linear_algebra,0.4133,5,2026-05-04 05:21:41.850466+00:00
synth_user_005,calculus,0.3785,15,2026-05-04 05:21:41.986024+00:00
synth_user_005,databases,0.2489,10,2026-05-04 05:21:42.116234+00:00
synth_user_005,calculus,0.3561,15,2026-05-04 05:21:42.244387+00:00
synth_user_005,networks,0.3758,10,2026-05-04 05:21:42.374959+00:00
synth_user_005,networks,0.3207,5,2026-05-04 05:21:42.617868+00:00
synth_user_005,calculus,0.3873,5,2026-05-04 05:21:42.773492+00:00
synth_user_006,machine_learning,0.7493,15,2026-05-04 05:23:08.731863+00:00
synth_user_006,object_oriented_programming,0.3898,5,2026-05-04 05:23:08.869547+00:00
synth_user_006,machine_learning,0.5777,20,2026-05-04 05:23:09.075954+00:00
synth_user_006,machine_learning,0.5881,20,2026-05-04 05:23:09.219194+00:00
synth_user_006,databases,0.9091,20,2026-05-04 05:23:09.427620+00:00
synth_user_006,statistics,0.5708,15,2026-05-04 05:23:09.552266+00:00
synth_user_006,networks,0.6458,5,2026-05-04 05:23:09.677297+00:00
synth_user_006,networks,0.6054,20,2026-05-04 05:23:09.810611+00:00
synth_user_006,object_oriented_programming,0.4798,5,2026-05-04 05:23:09.942573+00:00
synth_user_006,networks,0.7467,20,2026-05-04 05:23:10.108612+00:00
synth_user_006,calculus,0.6776,15,2026-05-04 05:23:10.237268+00:00
synth_user_007,machine_learning,0.6969,20,2026-05-04 05:24:23.089444+00:00
synth_user_007,linear_algebra,0.9116,10,2026-05-04 05:24:23.263009+00:00
synth_user_007,databases,0.5448,5,2026-05-04 05:24:23.397761+00:00
synth_user_007,calculus,0.566,20,2026-05-04 05:24:23.550822+00:00
synth_user_007,calculus,0.6459,5,2026-05-04 05:24:23.701524+00:00
synth_user_007,operating_systems,0.5958,20,2026-05-04 05:24:23.843694+00:00
synth_user_007,linear_algebra,0.4627,15,2026-05-04 05:24:24.001049+00:00
synth_user_008,networks,0.3292,5,2026-05-04 05:25:45.940929+00:00
synth_user_008,object_oriented_programming,0.3504,10,2026-05-04 05:25:46.100706+00:00
synth_user_008,linear_algebra,0.3955,20,2026-05-04 05:25:46.333637+00:00
synth_user_008,operating_systems,0.5352,10,2026-05-04 05:25:46.475089+00:00
synth_user_008,machine_learning,0.2761,20,2026-05-04 05:25:46.614148+00:00
synth_user_008,networks,0.4662,20,2026-05-04 05:25:46.758441+00:00
synth_user_008,machine_learning,0.5807,20,2026-05-04 05:25:46.914998+00:00
synth_user_009,statistics,0.3299,20,2026-05-04 05:26:51.449141+00:00
synth_user_009,object_oriented_programming,0.3962,15,2026-05-04 05:26:51.594492+00:00
synth_user_009,linear_algebra,0.1512,15,2026-05-04 05:26:51.744388+00:00
synth_user_009,machine_learning,0.1384,20,2026-05-04 05:26:51.903097+00:00
synth_user_009,object_oriented_programming,0.365,5,2026-05-04 05:26:52.167645+00:00
synth_user_009,linear_algebra,0.3353,15,2026-05-04 05:26:52.317359+00:00
synth_user_009,operating_systems,0.3306,15,2026-05-04 05:26:52.469877+00:00
synth_user_009,machine_learning,0.3384,5,2026-05-04 05:26:52.617177+00:00
synth_user_009,machine_learning,0.2153,20,2026-05-04 05:26:52.767229+00:00
synth_user_009,object_oriented_programming,0.3303,20,2026-05-04 05:26:52.926505+00:00
synth_user_009,networks,0.3361,5,2026-05-04 05:26:53.082034+00:00
synth_user_009,operating_systems,0.2148,15,2026-05-04 05:26:53.391057+00:00
synth_user_009,machine_learning,0.5207,15,2026-05-04 05:26:53.573742+00:00
synth_user_009,databases,0.3583,20,2026-05-04 05:26:53.771589+00:00
synth_user_009,statistics,0.1558,15,2026-05-04 05:26:53.938553+00:00
synth_user_009,calculus,0.3766,20,2026-05-04 05:26:54.095827+00:00
synth_user_009,machine_learning,0.1799,20,2026-05-04 05:26:54.337639+00:00
synth_user_009,databases,0.3959,5,2026-05-04 05:26:54.496147+00:00
synth_user_009,object_oriented_programming,0.4414,20,2026-05-04 05:26:54.666942+00:00
synth_user_009,statistics,0.2002,15,2026-05-04 05:26:54.818602+00:00
synth_user_010,databases,0.5264,20,2026-05-04 05:27:57.267918+00:00
synth_user_010,linear_algebra,0.4544,20,2026-05-04 05:27:57.422365+00:00
synth_user_010,statistics,0.4326,20,2026-05-04 05:27:57.579163+00:00
synth_user_010,calculus,0.4359,10,2026-05-04 05:27:57.721807+00:00
synth_user_010,object_oriented_programming,0.552,15,2026-05-04 05:27:57.869856+00:00
synth_user_010,networks,0.5934,15,2026-05-04 05:27:58.019609+00:00
synth_user_010,operating_systems,0.5835,10,2026-05-04 05:27:58.160428+00:00
synth_user_010,machine_learning,0.6276,20,2026-05-04 05:27:58.394957+00:00
synth_user_010,linear_algebra,0.5464,10,2026-05-04 05:27:58.544727+00:00
synth_user_010,object_oriented_programming,0.7357,10,2026-05-04 05:27:58.692837+00:00
synth_user_010,databases,0.524,20,2026-05-04 05:27:58.834218+00:00
synth_user_010,object_oriented_programming,0.8877,20,2026-05-04 05:27:58.976703+00:00
synth_user_010,networks,0.6276,10,2026-05-04 05:27:59.116252+00:00
synth_user_011,networks,0.3508,5,2026-05-04 05:29:22.508503+00:00
synth_user_011,operating_systems,0.3396,15,2026-05-04 05:29:22.647505+00:00
synth_user_011,databases,0.4542,20,2026-05-04 05:29:22.787090+00:00
synth_user_011,operating_systems,0.4232,5,2026-05-04 05:29:23.009266+00:00
synth_user_011,operating_systems,0.3576,10,2026-05-04 05:29:23.141986+00:00
synth_user_011,networks,0.2656,15,2026-05-04 05:29:23.268691+00:00
synth_user_011,linear_algebra,0.1825,15,2026-05-04 05:29:23.418075+00:00
synth_user_011,operating_systems,0.3128,10,2026-05-04 05:29:23.584119+00:00
synth_user_011,databases,0.4713,20,2026-05-04 05:29:23.719916+00:00
synth_user_011,networks,0.3929,10,2026-05-04 05:29:23.848952+00:00
synth_user_011,calculus,0.2105,15,2026-05-04 05:29:24.075481+00:00
synth_user_011,databases,0.3893,10,2026-05-04 05:29:24.213593+00:00
synth_user_011,object_oriented_programming,0.4169,20,2026-05-04 05:29:24.356963+00:00
synth_user_011,calculus,0.2539,15,2026-05-04 05:29:24.506482+00:00
synth_user_011,linear_algebra,0.3827,20,2026-05-04 05:29:24.645677+00:00
synth_user_012,statistics,0.6965,20,2026-05-04 05:30:19.388427+00:00
synth_user_012,networks,0.7074,10,2026-05-04 05:30:19.602122+00:00
synth_user_012,calculus,0.3952,20,2026-05-04 05:30:19.715301+00:00
synth_user_012,operating_systems,0.466,15,2026-05-04 05:30:19.850363+00:00
synth_user_012,machine_learning,0.6163,15,2026-05-04 05:30:19.983914+00:00
synth_user_012,statistics,0.6282,20,2026-05-04 05:30:20.123845+00:00
synth_user_012,statistics,0.6283,20,2026-05-04 05:30:20.256253+00:00
synth_user_012,operating_systems,1.0,15,2026-05-04 05:30:20.387768+00:00
synth_user_012,networks,0.6494,5,2026-05-04 05:30:20.521610+00:00
synth_user_012,databases,0.7208,5,2026-05-04 05:30:20.744527+00:00
synth_user_012,object_oriented_programming,0.705,15,2026-05-04 05:30:20.879028+00:00
synth_user_013,object_oriented_programming,0.5001,10,2026-05-04 05:31:39.710430+00:00
synth_user_013,calculus,0.5839,20,2026-05-04 05:31:39.856107+00:00
synth_user_013,linear_algebra,0.6672,20,2026-05-04 05:31:39.999961+00:00
synth_user_013,statistics,0.9275,10,2026-05-04 05:31:40.205958+00:00
synth_user_013,object_oriented_programming,0.4561,5,2026-05-04 05:31:40.349625+00:00
synth_user_013,object_oriented_programming,0.7625,10,2026-05-04 05:31:40.479444+00:00
synth_user_013,machine_learning,0.4411,20,2026-05-04 05:31:40.639712+00:00
synth_user_013,object_oriented_programming,0.6235,15,2026-05-04 05:31:40.777553+00:00
synth_user_013,databases,0.8032,5,2026-05-04 05:31:40.945228+00:00
synth_user_013,object_oriented_programming,0.6879,5,2026-05-04 05:31:41.080256+00:00
synth_user_013,operating_systems,0.5356,5,2026-05-04 05:31:41.350038+00:00
synth_user_013,databases,0.5867,5,2026-05-04 05:31:41.484520+00:00
synth_user_013,statistics,0.7313,5,2026-05-04 05:31:41.622254+00:00
synth_user_013,networks,0.5804,5,2026-05-04 05:31:41.767488+00:00
synth_user_013,statistics,0.6758,5,2026-05-04 05:31:41.927291+00:00
synth_user_013,networks,0.6735,5,2026-05-04 05:31:42.076256+00:00
synth_user_013,machine_learning,0.5564,20,2026-05-04 05:31:42.209377+00:00
synth_user_013,statistics,0.9071,15,2026-05-04 05:31:42.346201+00:00
synth_user_013,networks,0.7441,10,2026-05-04 05:31:42.491336+00:00
synth_user_014,machine_learning,0.181,20,2026-05-04 05:32:45.429039+00:00
synth_user_014,machine_learning,0.2624,5,2026-05-04 05:32:45.557928+00:00
synth_user_014,operating_systems,0.3388,5,2026-05-04 05:32:45.690411+00:00
synth_user_014,operating_systems,0.3821,20,2026-05-04 05:32:45.910791+00:00
synth_user_014,databases,0.1347,15,2026-05-04 05:32:46.073035+00:00
synth_user_014,statistics,0.237,10,2026-05-04 05:32:46.216066+00:00
synth_user_014,statistics,0.2202,5,2026-05-04 05:32:46.389111+00:00
synth_user_014,statistics,0.1988,15,2026-05-04 05:32:46.530078+00:00
synth_user_014,machine_learning,0.488,20,2026-05-04 05:32:46.663919+00:00
synth_user_014,operating_systems,0.3268,20,2026-05-04 05:32:46.824239+00:00
synth_user_014,networks,0.1271,15,2026-05-04 05:32:47.068849+00:00
synth_user_014,calculus,0.3868,5,2026-05-04 05:32:47.196300+00:00
synth_user_014,calculus,0.5313,5,2026-05-04 05:32:47.326341+00:00
synth_user_014,databases,0.4026,10,2026-05-04 05:32:47.452918+00:00
synth_user_014,machine_learning,0.0938,10,2026-05-04 05:32:47.603637+00:00
synth_user_014,operating_systems,0.2201,20,2026-05-04 05:32:47.752167+00:00
synth_user_014,machine_learning,0.4282,10,2026-05-04 05:32:47.892940+00:00
synth_user_014,machine_learning,0.1912,10,2026-05-04 05:32:48.135852+00:00
synth_user_014,operating_systems,0.3315,15,2026-05-04 05:32:48.298151+00:00
synth_user_014,databases,0.3717,10,2026-05-04 05:32:48.424060+00:00
synth_user_014,operating_systems,0.167,5,2026-05-04 05:32:48.549313+00:00
synth_user_014,machine_learning,0.269,5,2026-05-04 05:32:48.690037+00:00
synth_user_015,machine_learning,0.1297,5,2026-05-04 05:33:40.821446+00:00
synth_user_015,networks,0.2904,10,2026-05-04 05:33:40.951435+00:00
synth_user_015,networks,0.2499,5,2026-05-04 05:33:41.102362+00:00
synth_user_015,statistics,0.3104,15,2026-05-04 05:33:41.258838+00:00
synth_user_015,operating_systems,0.5871,10,2026-05-04 05:33:41.391720+00:00
synth_user_015,calculus,0.3509,5,2026-05-04 05:33:41.566291+00:00
synth_user_015,linear_algebra,0.4135,5,2026-05-04 05:33:41.716329+00:00
synth_user_016,calculus,0.1991,15,2026-05-04 05:35:00.082227+00:00
synth_user_016,statistics,0.5839,10,2026-05-04 05:35:00.205567+00:00
synth_user_016,calculus,0.353,10,2026-05-04 05:35:00.340329+00:00
synth_user_016,operating_systems,0.6904,20,2026-05-04 05:35:00.466589+00:00
synth_user_016,linear_algebra,0.5161,20,2026-05-04 05:35:00.616328+00:00
synth_user_016,networks,0.447,15,2026-05-04 05:35:00.749635+00:00
synth_user_016,calculus,0.4795,15,2026-05-04 05:35:00.881369+00:00
synth_user_016,calculus,0.4138,10,2026-05-04 05:35:01.023646+00:00
synth_user_016,calculus,0.3684,20,2026-05-04 05:35:01.164410+00:00
synth_user_016,object_oriented_programming,0.4688,5,2026-05-04 05:35:01.439951+00:00
synth_user_016,machine_learning,0.5296,20,2026-05-04 05:35:01.583761+00:00
synth_user_016,calculus,0.3711,5,2026-05-04 05:35:01.721407+00:00
synth_user_016,operating_systems,0.3624,5,2026-05-04 05:35:01.881507+00:00
synth_user_016,object_oriented_programming,0.4013,20,2026-05-04 05:35:02.008650+00:00
synth_user_017,statistics,0.3905,15,2026-05-04 05:36:18.372036+00:00
synth_user_017,databases,0.5836,20,2026-05-04 05:36:18.507183+00:00
synth_user_017,operating_systems,0.5405,5,2026-05-04 05:36:18.640016+00:00
synth_user_017,calculus,0.3767,5,2026-05-04 05:36:18.781300+00:00
synth_user_017,machine_learning,0.2433,20,2026-05-04 05:36:18.915096+00:00
synth_user_017,machine_learning,0.3114,20,2026-05-04 05:36:19.099672+00:00
synth_user_017,operating_systems,0.394,20,2026-05-04 05:36:19.345027+00:00
synth_user_017,networks,0.6153,15,2026-05-04 05:36:19.494898+00:00
synth_user_017,calculus,0.6483,5,2026-05-04 05:36:19.635345+00:00
synth_user_017,databases,0.4256,5,2026-05-04 05:36:19.779572+00:00
synth_user_017,networks,0.427,15,2026-05-04 05:36:19.918942+00:00
synth_user_017,object_oriented_programming,0.5139,5,2026-05-04 05:36:20.071864+00:00
synth_user_017,calculus,0.4634,10,2026-05-04 05:36:20.210222+00:00
synth_user_017,databases,0.5901,20,2026-05-04 05:36:20.434854+00:00
synth_user_017,machine_learning,0.3951,20,2026-05-04 05:36:20.573391+00:00
synth_user_017,linear_algebra,0.5841,20,2026-05-04 05:36:20.725355+00:00
synth_user_017,object_oriented_programming,0.4538,5,2026-05-04 05:36:20.894589+00:00
synth_user_017,calculus,0.5644,10,2026-05-04 05:36:21.031649+00:00
synth_user_017,databases,0.4458,10,2026-05-04 05:36:21.172246+00:00
synth_user_017,databases,0.4048,15,2026-05-04 05:36:21.305011+00:00
synth_user_018,networks,0.7497,15,2026-05-04 05:37:46.135999+00:00
synth_user_018,calculus,0.4396,20,2026-05-04 05:37:46.290337+00:00
synth_user_018,calculus,0.6757,20,2026-05-04 05:37:46.442244+00:00
synth_user_018,statistics,0.6697,10,2026-05-04 05:37:46.597321+00:00
synth_user_018,statistics,0.5057,20,2026-05-04 05:37:46.746813+00:00
synth_user_018,databases,0.6079,10,2026-05-04 05:37:47.004118+00:00
synth_user_018,linear_algebra,0.3453,5,2026-05-04 05:37:47.154113+00:00
synth_user_018,calculus,0.7956,10,2026-05-04 05:37:47.303637+00:00
synth_user_018,operating_systems,0.5654,5,2026-05-04 05:37:47.444792+00:00
synth_user_018,databases,0.7054,10,2026-05-04 05:37:47.595727+00:00
synth_user_018,object_oriented_programming,0.6891,10,2026-05-04 05:37:47.745593+00:00
synth_user_018,machine_learning,0.7397,10,2026-05-04 05:37:47.885144+00:00
synth_user_018,linear_algebra,0.5441,5,2026-05-04 05:37:48.117510+00:00
synth_user_018,machine_learning,0.6012,5,2026-05-04 05:37:48.251461+00:00
synth_user_018,calculus,0.6503,20,2026-05-04 05:37:48.399773+00:00
synth_user_018,networks,0.7098,20,2026-05-04 05:37:48.549195+00:00
synth_user_018,networks,0.7436,10,2026-05-04 05:37:48.690536+00:00
synth_user_018,linear_algebra,0.5388,5,2026-05-04 05:37:48.823060+00:00
synth_user_018,machine_learning,0.497,5,2026-05-04 05:37:48.957495+00:00
synth_user_018,calculus,0.7464,10,2026-05-04 05:37:49.197124+00:00
synth_user_018,object_oriented_programming,0.371,20,2026-05-04 05:37:49.363447+00:00
synth_user_019,machine_learning,0.5097,15,2026-05-04 05:39:07.286850+00:00
synth_user_019,object_oriented_programming,0.5931,20,2026-05-04 05:39:07.421576+00:00
synth_user_019,calculus,0.6317,20,2026-05-04 05:39:07.551363+00:00
synth_user_019,calculus,0.7901,20,2026-05-04 05:39:07.691299+00:00
synth_user_019,operating_systems,0.7525,15,2026-05-04 05:39:07.817441+00:00
synth_user_019,databases,0.7266,20,2026-05-04 05:39:07.950050+00:00
synth_user_019,linear_algebra,0.6632,10,2026-05-04 05:39:08.082711+00:00
synth_user_019,databases,0.4941,10,2026-05-04 05:39:08.216368+00:00
synth_user_019,operating_systems,0.5587,5,2026-05-04 05:39:08.448628+00:00
synth_user_019,statistics,0.6038,15,2026-05-04 05:39:08.608341+00:00
synth_user_019,databases,0.7224,10,2026-05-04 05:39:08.756646+00:00
synth_user_019,calculus,0.6459,15,2026-05-04 05:39:08.899714+00:00
synth_user_019,networks,0.781,20,2026-05-04 05:39:09.046614+00:00
synth_user_019,calculus,0.6944,5,2026-05-04 05:39:09.204926+00:00
synth_user_019,object_oriented_programming,0.6815,10,2026-05-04 05:39:09.346046+00:00
synth_user_019,calculus,0.9106,15,2026-05-04 05:39:09.495778+00:00
synth_user_020,databases,0.2992,15,2026-05-04 05:40:23.180852+00:00
synth_user_020,databases,0.378,5,2026-05-04 05:40:23.329312+00:00
synth_user_020,databases,0.5085,20,2026-05-04 05:40:23.471837+00:00
synth_user_020,databases,0.217,20,2026-05-04 05:40:23.619464+00:00
synth_user_020,machine_learning,0.4727,15,2026-05-04 05:40:23.762578+00:00
synth_user_020,statistics,0.3648,5,2026-05-04 05:40:23.903586+00:00
synth_user_020,operating_systems,0.2262,20,2026-05-04 05:40:24.176092+00:00
synth_user_021,operating_systems,0.8466,5,2026-05-04 05:41:41.251037+00:00
synth_user_021,object_oriented_programming,0.7155,10,2026-05-04 05:41:41.468195+00:00
synth_user_021,linear_algebra,0.852,10,2026-05-04 05:41:41.609751+00:00
synth_user_021,linear_algebra,0.6346,15,2026-05-04 05:41:41.752086+00:00
synth_user_021,linear_algebra,1.0,10,2026-05-04 05:41:41.892109+00:00
synth_user_021,calculus,0.9143,5,2026-05-04 05:41:42.037071+00:00
synth_user_021,calculus,0.7164,15,2026-05-04 05:41:42.183484+00:00
synth_user_021,databases,0.6076,15,2026-05-04 05:41:42.317656+00:00
synth_user_021,linear_algebra,0.9555,15,2026-05-04 05:41:42.450458+00:00
synth_user_021,operating_systems,0.7894,15,2026-05-04 05:41:42.591725+00:00
synth_user_022,calculus,0.6024,15,2026-05-04 05:42:57.710457+00:00
synth_user_022,calculus,0.6097,5,2026-05-04 05:42:57.861486+00:00
synth_user_022,operating_systems,0.6356,10,2026-05-04 05:42:58.026764+00:00
synth_user_022,object_oriented_programming,0.5898,10,2026-05-04 05:42:58.275482+00:00
synth_user_022,networks,0.7075,15,2026-05-04 05:42:58.409603+00:00
synth_user_022,object_oriented_programming,0.5157,10,2026-05-04 05:42:58.568998+00:00
synth_user_022,statistics,0.599,15,2026-05-04 05:42:58.709325+00:00
synth_user_022,statistics,0.6305,10,2026-05-04 05:42:58.858740+00:00
synth_user_022,databases,0.6986,10,2026-05-04 05:42:59.001344+00:00
synth_user_022,networks,0.7181,5,2026-05-04 05:42:59.154454+00:00
synth_user_022,networks,0.4978,20,2026-05-04 05:42:59.423348+00:00
synth_user_022,machine_learning,0.418,5,2026-05-04 05:42:59.573373+00:00
synth_user_023,databases,0.8542,10,2026-05-04 05:44:01.924497+00:00
synth_user_023,statistics,0.7307,15,2026-05-04 05:44:02.052538+00:00
synth_user_023,calculus,0.5909,5,2026-05-04 05:44:02.260191+00:00
synth_user_023,linear_algebra,0.8429,5,2026-05-04 05:44:02.451144+00:00
synth_user_023,calculus,0.7934,20,2026-05-04 05:44:02.604978+00:00
synth_user_023,linear_algebra,0.5658,15,2026-05-04 05:44:02.727217+00:00
synth_user_023,calculus,0.6993,15,2026-05-04 05:44:02.849339+00:00
synth_user_023,calculus,0.6602,20,2026-05-04 05:44:02.991336+00:00
synth_user_023,databases,0.7728,5,2026-05-04 05:44:03.132058+00:00
synth_user_023,statistics,0.4734,5,2026-05-04 05:44:03.346750+00:00
synth_user_023,operating_systems,0.6844,5,2026-05-04 05:44:03.495797+00:00
synth_user_023,networks,0.7317,5,2026-05-04 05:44:03.645792+00:00
synth_user_023,statistics,0.3781,15,2026-05-04 05:44:03.790838+00:00
synth_user_023,calculus,0.4408,20,2026-05-04 05:44:03.940971+00:00
synth_user_023,networks,0.3599,5,2026-05-04 05:44:04.090526+00:00
synth_user_023,operating_systems,0.5697,15,2026-05-04 05:44:04.331144+00:00
synth_user_023,calculus,0.6689,15,2026-05-04 05:44:04.477802+00:00
synth_user_024,statistics,0.4247,20,2026-05-04 05:44:56.555832+00:00
synth_user_024,object_oriented_programming,0.6513,20,2026-05-04 05:44:56.689655+00:00
synth_user_024,linear_algebra,0.6824,5,2026-05-04 05:44:56.848591+00:00
synth_user_024,statistics,0.6252,20,2026-05-04 05:44:57.000898+00:00
synth_user_024,object_oriented_programming,0.4098,20,2026-05-04 05:44:57.131722+00:00
synth_user_024,object_oriented_programming,0.6472,10,2026-05-04 05:44:57.354737+00:00
synth_user_024,calculus,0.4654,5,2026-05-04 05:44:57.497723+00:00
synth_user_024,linear_algebra,0.7167,15,2026-05-04 05:44:57.649417+00:00
synth_user_024,networks,0.6904,10,2026-05-04 05:44:57.819282+00:00
synth_user_024,linear_algebra,0.5236,10,2026-05-04 05:44:57.975325+00:00
synth_user_024,calculus,0.5603,15,2026-05-04 05:44:58.115356+00:00
synth_user_024,networks,0.5193,10,2026-05-04 05:44:58.258314+00:00
synth_user_024,machine_learning,0.6072,10,2026-05-04 05:44:58.524713+00:00
synth_user_024,databases,0.7654,10,2026-05-04 05:44:58.673960+00:00
synth_user_024,linear_algebra,0.5181,20,2026-05-04 05:44:58.814019+00:00
synth_user_024,statistics,0.6896,15,2026-05-04 05:44:58.954992+00:00
synth_user_024,object_oriented_programming,0.5943,20,2026-05-04 05:44:59.105878+00:00
synth_user_024,linear_algebra,0.5412,15,2026-05-04 05:44:59.241618+00:00
synth_user_024,linear_algebra,0.6235,15,2026-05-04 05:44:59.374058+00:00
synth_user_024,statistics,0.5049,10,2026-05-04 05:44:59.614674+00:00
synth_user_024,operating_systems,0.5771,20,2026-05-04 05:44:59.772244+00:00
synth_user_024,networks,0.5027,20,2026-05-04 05:44:59.905485+00:00
synth_user_024,databases,0.8865,10,2026-05-04 05:45:00.046830+00:00
synth_user_024,machine_learning,0.619,15,2026-05-04 05:45:00.196318+00:00
synth_user_025,calculus,0.3537,5,2026-05-04 05:46:31.322080+00:00
